"Col","Spine","Width","Sat","Wt"
"M","NoneOK",28.3,8,3050
"DM","NoneOK",22.5,0,1550
"LM","BothOK",26,9,2300
"DM","NoneOK",24.8,0,2100
"DM","NoneOK",26,4,2600
"M","NoneOK",23.8,0,2100
"LM","BothOK",26.5,0,2350
"DM","OneOK",24.7,0,1900
"M","BothOK",23.7,0,1950
"DM","NoneOK",25.6,0,2150
"DM","NoneOK",24.3,0,2150
"M","NoneOK",25.8,0,2650
"M","NoneOK",28.2,11,3050
"D","OneOK",21,0,1850
"M","BothOK",26,14,2300
"LM","BothOK",27.1,8,2950
"M","NoneOK",25.2,1,2000
"M","NoneOK",29,1,3000
"D","NoneOK",24.7,0,2200
"M","NoneOK",27.4,5,2700
"M","OneOK",23.2,4,1950
"LM","OneOK",25,3,2300
"M","BothOK",22.5,1,1600
"DM","NoneOK",26.7,2,2600
"D","NoneOK",25.8,3,2000
"D","NoneOK",26.2,0,1300
"M","NoneOK",28.7,3,3150
"M","BothOK",26.8,5,2700
"D","NoneOK",27.5,0,2600
"M","NoneOK",24.9,0,2100
"LM","BothOK",29.3,4,3200
"LM","NoneOK",25.8,0,2600
"M","OneOK",25.7,0,2000
"M","BothOK",25.7,8,2000
"M","BothOK",26.7,5,2700
"D","NoneOK",23.7,0,1850
"M","NoneOK",26.8,0,2650
"M","NoneOK",27.5,6,3150
"D","NoneOK",23.4,0,1900
"M","NoneOK",27.9,6,2800
"DM","NoneOK",27.5,3,3100
"LM","BothOK",26.1,5,2800
"LM","BothOK",27.7,6,2500
"M","BothOK",30,5,3300
"DM","BothOK",28.5,9,3250
"DM","NoneOK",28.9,4,2800
"M","NoneOK",28.2,6,2600
"M","NoneOK",25,4,2100
"M","NoneOK",28.5,3,3000
"M","BothOK",30.3,3,3600
"D","NoneOK",24.7,5,2100
"M","NoneOK",27.7,5,2900
"LM","BothOK",27.4,6,2700
"M","NoneOK",22.9,4,1600
"M","BothOK",25.7,5,2000
"M","NoneOK",28.3,15,3000
"M","NoneOK",27.2,3,2700
"DM","NoneOK",26.2,3,2300
"M","BothOK",27.8,0,2750
"D","NoneOK",25.5,0,2250
"DM","NoneOK",27.1,0,2550
"DM","NoneOK",24.5,5,2050
"DM","BothOK",27,3,2450
"M","NoneOK",26,5,2150
"M","NoneOK",28,1,2800
"M","NoneOK",30,8,3050
"M","NoneOK",29,10,3200
"M","NoneOK",26.2,0,2400
"M","BothOK",26.5,0,1300
"M","NoneOK",26.2,3,2400
"DM","NoneOK",25.6,7,2800
"DM","NoneOK",23,1,1650
"DM","NoneOK",23,0,1800
"M","NoneOK",25.4,6,2250
"DM","NoneOK",24.2,0,1900
"M","OneOK",22.9,0,1600
"DM","OneOK",26,3,2200
"M","NoneOK",25.4,4,2250
"DM","NoneOK",25.7,0,1200
"M","NoneOK",25.1,5,2100
"DM","OneOK",24.5,0,2250
"D","NoneOK",27.5,0,2900
"DM","NoneOK",23.1,0,1650
"DM","BothOK",25.9,4,2550
"M","NoneOK",25.8,0,2300
"D","NoneOK",27,3,2250
"M","NoneOK",28.5,0,3050
"D","BothOK",25.5,0,2750
"D","NoneOK",23.5,0,1900
"M","OneOK",24,0,1700
"M","BothOK",29.7,5,3850
"M","BothOK",26.8,0,2550
"D","NoneOK",26.7,0,2450
"M","BothOK",28.7,0,3200
"DM","NoneOK",23.1,0,1550
"M","BothOK",29,1,2800
"DM","NoneOK",25.5,0,2250
"DM","NoneOK",26.5,1,1967
"DM","NoneOK",24.5,1,2200
"DM","NoneOK",28.5,1,3000
"M","NoneOK",28.2,1,2867
"M","NoneOK",24.5,1,1600
"M","NoneOK",27.5,1,2550
"M","OneOK",24.7,4,2550
"M","BothOK",25.2,1,2000
"DM","NoneOK",27.3,1,2900
"M","NoneOK",26.3,1,2400
"M","NoneOK",29,1,3100
"M","NoneOK",25.3,2,1900
"M","NoneOK",26.5,4,2300
"M","NoneOK",27.8,3,3250
"M","NoneOK",27,6,2500
"DM","NoneOK",25.7,0,2100
"M","NoneOK",25,2,2100
"M","NoneOK",31.9,2,3325
"D","NoneOK",23.7,0,1800
"D","NoneOK",29.3,12,3225
"DM","NoneOK",22,0,1400
"M","NoneOK",25,5,2400
"DM","NoneOK",27,6,2500
"DM","NoneOK",23.8,6,1800
"LM","BothOK",30.2,2,3275
"DM","NoneOK",26.2,0,2225
"M","NoneOK",24.2,2,1650
"M","NoneOK",27.4,3,2900
"M","OneOK",25.4,0,2300
"DM","NoneOK",28.4,3,3200
"D","NoneOK",22.5,4,1475
"M","NoneOK",26.2,2,2025
"M","BothOK",24.9,6,2300
"LM","OneOK",24.5,6,1950
"M","NoneOK",25.1,0,1800
"M","BothOK",28,4,2900
"D","NoneOK",25.8,10,2250
"M","NoneOK",27.9,7,3050
"M","NoneOK",24.9,0,2200
"M","BothOK",28.4,5,3100
"DM","NoneOK",27.2,5,2400
"M","OneOK",25,6,2250
"M","NoneOK",27.5,6,2625
"M","BothOK",33.5,7,5200
"M","NoneOK",30.5,3,3325
"DM","NoneOK",29,3,2925
"M","BothOK",24.3,0,2000
"M","NoneOK",25.8,0,2400
"D","NoneOK",25,8,2100
"M","BothOK",31.7,4,3725
"M","NoneOK",29.5,4,3025
"DM","NoneOK",24,10,1900
"M","NoneOK",30,9,3000
"M","NoneOK",27.6,4,2850
"M","NoneOK",26.2,0,2300
"M","BothOK",23.1,0,2000
"M","BothOK",22.9,0,1600
"D","NoneOK",24.5,0,1900
"M","NoneOK",24.7,4,1950
"M","NoneOK",28.3,0,3200
"M","NoneOK",23.9,2,1850
"DM","NoneOK",23.8,0,1800
"DM","OneOK",29.8,4,3500
"M","NoneOK",26.5,4,2350
"M","NoneOK",26,3,2275
"M","NoneOK",28.2,8,3050
"D","NoneOK",25.7,0,2150
"M","NoneOK",26.5,7,2750
"M","NoneOK",25.8,0,2200
"DM","NoneOK",24.1,0,1800
"DM","NoneOK",26.2,2,2175
"DM","NoneOK",26.1,3,2750
"DM","NoneOK",29,4,3275
"LM","BothOK",28,0,2625
"D","NoneOK",27,0,2625
"M","OneOK",24.5,0,2000
