"Foliage","DBH","Age","Origin"
0.1,4,38,"Natural"
0.2,6,38,"Natural"
0.4,8,46,"Natural"
0.6,9.6,44,"Natural"
0.6,11.3,60,"Natural"
0.8,13.7,56,"Natural"
1,15.4,72,"Natural"
1.4,17.8,74,"Natural"
1.7,18,68,"Natural"
3.5,22,79,"Natural"
3.8,22.6,78,"Natural"
4.1,26.4,78,"Natural"
6.6,28.6,75,"Natural"
8,31.8,83,"Natural"
11.8,38.6,84,"Natural"
0.12,3.5,18,"Natural"
0.36,4.9,13,"Natural"
1.2,17,40,"Natural"
5.63,27.5,74,"Natural"
0.06,2,21,"Natural"
0.36,4,21,"Natural"
1.6,6,21,"Natural"
3.5,8,21,"Natural"
0.01,1.6,26,"Natural"
0.61,9,26,"Natural"
1.09,12,26,"Natural"
4.6,24.6,85,"Natural"
1.7,19.3,78,"Natural"
1.9,12.7,40,"Natural"
0.3,8,38,"Natural"
0.04,4,25,"Natural"
0.1,13.7,53,"Natural"
0.2,16.4,76,"Natural"
0.4,18.6,82,"Natural"
0.6,19,76,"Natural"
0.6,23,105,"Natural"
0.8,24.8,127,"Natural"
1,32.3,105,"Natural"
1.4,27.8,104,"Natural"
1.7,24.3,110,"Natural"
3.5,30.4,118,"Natural"
4.08,30.1,94,"Natural"
2.87,23.2,85,"Natural"
0.55,12.2,50,"Natural"
1.67,16.5,70,"Natural"
1.05,17.9,80,"Natural"
2.58,24.3,90,"Natural"
2.34,18.1,66,"Natural"
1.98,22.7,80,"Natural"
4.79,26.9,93,"Natural"
3.95,27.5,109,"Natural"
0.9,14.8,35,"Natural"
0.27,8.35,28,"Natural"
0.57,12.3,44,"Natural"
0.52,14.8,48,"Natural"
1.89,16.25,46,"Natural"
0.13,8.6,36,"Natural"
1.3,14.6,42,"Natural"
0.61,10.2,41,"Natural"
0.6,12,39,"Natural"
0.63,10.75,40,"Natural"
0.25,7.85,32,"Natural"
0.21,6.35,23,"Natural"
0.25,8.2,38,"Natural"
5.07,21.85,61,"Natural"
1.34,18.15,58,"Natural"
2.31,17.15,47,"Natural"
1.62,14.9,40,"Natural"
1.34,15,44,"Natural"
0.77,12.65,33,"Natural"
0.7,12.5,32,"Natural"
2.61,16.7,42,"Natural"
2.56,16.3,39,"Natural"
0.56,8.55,66,"Natural"
0.04,6.9,28,"Natural"
0.06,5.46,30,"Natural"
0.31,9.15,34,"Natural"
0.7,10.8,48,"Natural"
1.07,13.2,44,"Natural"
0.5,11.4,43,"Natural"
0.79,13.35,53,"Natural"
1.16,10,39,"Natural"
0.32,8.15,34,"Natural"
1.09,14.8,51,"Natural"
1.15,12.9,49,"Natural"
3.44,18.6,52,"Natural"
3.71,20.3,46,"Natural"
0.34,18.25,46,"Natural"
0.11,6.75,32,"Natural"
7.28,26.75,67,"Natural"
4.06,27.3,46,"Natural"
4.61,19.35,98,"Natural"
0.88,10.25,42,"Natural"
1.84,17.9,46,"Natural"
0.58,7.2,53,"Natural"
1.11,13.75,43,"Natural"
1.42,14.35,53,"Natural"
2.75,21.45,66,"Natural"
3.36,19.3,52,"Natural"
3,18.25,47,"Natural"
1.73,16.65,48,"Natural"
2.15,16.15,71,"Natural"
1.06,15.4,38,"Natural"
0.86,13.2,43,"Natural"
0.55,12.15,36,"Natural"
0.51,9.55,53,"Natural"
0.19,7.15,34,"Natural"
6.98,33.5,104,"Natural"
0.14,9.05,37,"Natural"
0.22,11.25,35,"Natural"
2.86,16.75,50,"Natural"
0.65,15.5,46,"Natural"
1.91,19.25,68,"Natural"
1.56,16.5,69,"Natural"
4.29,27.75,82,"Natural"
4.25,22.58,67,"Natural"
5.52,31.55,70,"Natural"
1.62,19.35,61,"Natural"
1.02,19.3,68,"Natural"
0.41,15.8,62,"Natural"
0.37,7.3,40,"Natural"
0.54,10.4,40,"Natural"
2.3,30,98,"Natural"
2.16,22.4,75,"Natural"
1.67,26.85,80,"Natural"
1.05,24.75,55,"Natural"
1.95,27.45,130,"Natural"
1.95,23.05,54,"Natural"
0.85,19.75,98,"Natural"
0.34,11.85,48,"Natural"
1.6,23.15,85,"Natural"
0.78,16,42,"Natural"
0.29,9.1,29,"Natural"
0.58,14.05,40,"Natural"
0.21,8.95,22,"Natural"
0.19,9.65,26,"Natural"
0.11,6.7,12,"Natural"
0.76,16.55,63,"Natural"
0.35,11.44,46,"Natural"
0.11,7.5,20,"Natural"
1.44,23.6,88,"Natural"
0.99,23.2,63,"Natural"
0.23,11.15,20,"Natural"
7.15,38.9,141,"Natural"
5.18,34.6,102,"Natural"
0.71,16.3,56,"Natural"
0.83,16.9,45,"Natural"
0.31,10.2,30,"Natural"
0.81,19.3,55,"Natural"
1.23,17.85,51,"Natural"
0.4,12.85,33,"Natural"
2.5,22.9,60,"Natural"
0.27,11.95,17,"Natural"
2.02,28.25,72,"Natural"
0.69,19,49,"Natural"
1.06,21.55,68,"Natural"
0.37,14.05,31,"Natural"
0.46,14.8,46,"Natural"
0.7,18.15,56,"Natural"
1.11,24.35,60,"Natural"
0.21,10.4,18,"Natural"
0.21,12.1,25,"Natural"
0.54,14.8,35,"Natural"
0.49,16.1,29,"Natural"
0.49,17.6,43,"Natural"
0.6,20.7,43,"Natural"
0.61,21.95,54,"Natural"
0.33,11.65,25,"Natural"
0.41,13.95,39,"Natural"
0.63,18,43,"Natural"
0.71,19.4,48,"Natural"
0.62,21.75,63,"Natural"
0.42,15.9,44,"Natural"
0.38,14,41,"Natural"
0.16,5.25,51,"Natural"
0.16,6.25,46,"Natural"
0.91,9.5,44,"Natural"
0.34,6.5,30,"Natural"
0.15,4.8,23,"Natural"
0.23,7.3,29,"Natural"
0.64,10.1,38,"Natural"
0.75,11,35,"Natural"
0.75,11.9,39,"Natural"
0.78,12.8,39,"Natural"
0.93,14.4,38,"Natural"
0.92,16.4,38,"Planted"
3.69,18.4,38,"Planted"
0.82,12.8,37,"Planted"
1.09,14.1,42,"Planted"
0.08,6.4,35,"Planted"
0.59,12,32,"Planted"
0.17,9.5,37,"Planted"
0.06,4.7,13,"Planted"
1.44,16.4,44,"Planted"
3.94,17.8,47,"Planted"
3.94,17.1,42,"Planted"
2.73,15.1,37,"Planted"
1.27,13.3,40,"Planted"
0.79,10.4,46,"Planted"
0.92,9.1,32,"Planted"
0.32,7.7,30,"Planted"
0.44,5.5,25,"Planted"
1.77,14.6,30,"Planted"
1.4,13,32,"Planted"
1.77,11.2,28,"Planted"
0.77,9.8,32,"Planted"
0.43,9.2,27,"Planted"
0.2,7.5,24,"Planted"
0.04,5.4,21,"Planted"
0.04,3.7,13,"Planted"
0.64,14.3,51,"Planted"
2.54,19.5,58,"Planted"
1.98,15.5,65,"Planted"
3.29,24,68,"Planted"
5.65,27.7,66,"Planted"
12.48,31.6,66,"Planted"
11.03,37.2,68,"Planted"
2.04,20.5,50,"Planted"
8.38,31,65,"Planted"
6.53,26.3,68,"Planted"
5.22,27.5,68,"Planted"
3.49,23.4,65,"Planted"
1.74,16.8,37,"Planted"
0.41,10.6,34,"Planted"
7.71,31.7,62,"Planted"
13.56,28.8,64,"Planted"
10.61,26.4,63,"Planted"
1.97,22.2,63,"Planted"
0.44,18.9,61,"Planted"
0.94,15.8,57,"Planted"
0.48,12.2,39,"Planted"
11.86,33.7,57,"Planted"
9.08,31.7,51,"Planted"
4.53,22.3,49,"Planted"
3.6,21.7,51,"Planted"
2.75,20.2,53,"Planted"
1.67,16.5,48,"Planted"
0.28,9,29,"Planted"
0.39,12.5,49,"Planted"
1.47,15,23,"Planted"
0.64,10.6,21,"Planted"
1.39,12.2,21,"Planted"
2.34,17.9,25,"Planted"
1.53,15.8,25,"Planted"
1,14,22,"Planted"
0.58,9.3,24,"Planted"
2.16,18.5,42,"Planted"
1.33,17.2,40,"Planted"
0.91,15.9,41,"Planted"
1.11,14.6,40,"Planted"
0.36,12.7,33,"Planted"
0.12,9,34,"Planted"
0.27,7.2,24,"Coppice"
0.03,3.1,11,"Coppice"
0.04,3.3,12,"Coppice"
0.03,3.1,11,"Coppice"
0.01,3.3,12,"Coppice"
0.07,3.3,12,"Coppice"
0.26,4.8,16,"Coppice"
0.16,5.1,15,"Coppice"
0.15,5.2,14,"Coppice"
0.25,5.3,15,"Coppice"
0.33,5.9,16,"Coppice"
0.09,3.5,11,"Coppice"
0.21,4.1,12,"Coppice"
0.15,4.7,10,"Coppice"
0.3,5.2,11,"Coppice"
0.36,5.6,12,"Coppice"
0.21,7.6,11,"Coppice"
0.48,7.5,11,"Coppice"
0.6,8.3,17,"Coppice"
0.66,8.8,15,"Coppice"
1.12,11.1,17,"Coppice"
0.15,6.4,18,"Coppice"
0.4,8.3,21,"Coppice"
0.65,10,24,"Coppice"
0.65,10.3,25,"Coppice"
1,11.9,27,"Coppice"
1.85,13.7,30,"Coppice"
0.35,7.2,21,"Coppice"
0.82,9.3,26,"Coppice"
1.06,11.1,24,"Coppice"
1.06,11.3,25,"Coppice"
1.57,13.2,29,"Coppice"
1.92,14.1,31,"Coppice"
0.15,5.4,21,"Coppice"
0.29,7.2,23,"Coppice"
0.51,9.3,23,"Coppice"
0.73,8.9,25,"Coppice"
1.21,11.3,28,"Coppice"
1.75,12.8,30,"Coppice"
0.1,4.4,21,"Coppice"
0.2,6.2,23,"Coppice"
0.74,7.8,25,"Coppice"
0.74,8.3,26,"Coppice"
1.23,9.9,28,"Coppice"
1.57,11.7,30,"Coppice"
1.97,13.8,32,"Coppice"
0.29,11.6,40,"Coppice"
0.84,14.5,34,"Coppice"
1.2,15.4,36,"Coppice"
1.19,19.5,38,"Coppice"
1.09,20,53,"Coppice"
1.85,20.7,50,"Coppice"
3.4,24.2,50,"Coppice"
3.6,24.6,59,"Coppice"
2.82,26.9,54,"Coppice"
6.53,29.9,65,"Coppice"
0.28,10.7,43,"Coppice"
0.92,16.2,49,"Coppice"
0.68,17,44,"Coppice"
0.66,16.8,49,"Coppice"
2.42,21.1,69,"Coppice"
2.02,20.7,59,"Coppice"
2.06,20.9,60,"Coppice"
2.64,26.1,68,"Coppice"
2.91,27.2,58,"Coppice"
3.7,34.4,71,"Coppice"
0.3,9.3,51,"Coppice"
0.14,11.1,50,"Coppice"
3.24,14.6,59,"Coppice"
1.38,15.9,62,"Coppice"
1.06,17.4,55,"Coppice"
3.3,19.6,61,"Coppice"
2.33,18.3,63,"Coppice"
2.4,21.6,59,"Coppice"
7.53,24.4,65,"Coppice"
2.63,28.8,66,"Coppice"
1.1,9.2,39,"Coppice"
1.47,16.6,68,"Coppice"
4.11,19.7,62,"Coppice"
3.02,21.1,56,"Coppice"
3.03,21.5,70,"Coppice"
3.56,23.5,62,"Coppice"
3.07,27.4,69,"Coppice"
3.95,26.5,72,"Coppice"
0.52,13.2,38,"Coppice"
0.9,16.3,52,"Coppice"
0.87,22.8,67,"Coppice"
0.96,25.4,69,"Coppice"
2.17,25.7,69,"Coppice"
1.02,25.6,69,"Coppice"
2.26,28.7,68,"Coppice"
0.5,31.8,70,"Coppice"
2.03,37.4,76,"Coppice"
0.75,8.8,24,"Coppice"
1.87,10.4,34,"Coppice"
1.26,13.8,46,"Coppice"
2.37,18.1,64,"Coppice"
0.68,18.4,65,"Coppice"
1.43,22.4,60,"Coppice"
2.37,23.1,68,"Coppice"
2.5,23,56,"Coppice"
2.35,25.9,66,"Coppice"
4.74,30.8,94,"Coppice"
0.82,11.9,41,"Coppice"
0.58,14.2,58,"Coppice"
2.17,17.9,64,"Coppice"
2.02,18.5,65,"Coppice"
1.88,19.1,86,"Coppice"
1.74,20,74,"Coppice"
1.98,20.2,73,"Coppice"
3.84,24,64,"Coppice"
5.1,27.5,77,"Coppice"
7.35,33.6,84,"Coppice"
0.12,5.2,31,"Coppice"
1.67,12.1,44,"Coppice"
1.75,13.8,70,"Coppice"
3.47,16.4,72,"Coppice"
0.29,16.1,69,"Coppice"
2.56,17.6,67,"Coppice"
2.32,18.5,57,"Coppice"
3.3,20,83,"Coppice"
2.05,20.2,71,"Coppice"
4.22,23.2,84,"Coppice"
6.43,23,87,"Coppice"
14.01,25.5,74,"Coppice"
7.06,25.3,78,"Coppice"
2.6,28.7,86,"Coppice"
9.8,27.9,84,"Coppice"
3.6,28.9,86,"Coppice"
3.87,30,80,"Coppice"
14.08,32.2,79,"Coppice"
3.9,35.4,88,"Coppice"
3.64,36.7,84,"Coppice"
